Rank,Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
1,square_glcm_Idmn,190,12,0.9981618740357092,0.9541730733639814,2238.0,2.2930331528093223e-08,0.9631578947368422,8.070925546536554e-07,True,0.9631578947368422
2,shape2D_PerimeterSurfaceRatio,190,12,0.0940670787763994,0.6408293026714852,52.0,3.070272730834403e-08,-0.9543859649122808,8.070925546536554e-07,True,0.9543859649122808
3,CentroidY,190,12,144.19473684210527,44.0,2227.0,3.152905818135521e-08,0.9535087719298244,8.070925546536554e-07,True,0.9535087719298244
4,squareroot_firstorder_TotalEnergy,190,12,266383899.13713223,9917133.42544236,2220.0,3.8708099218688396e-08,0.9473684210526316,8.070925546536554e-07,True,0.9473684210526316
5,wavelet-L_firstorder_Mean,190,12,-11.51036407081592,133.92174853859933,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True,0.9421052631578948
6,exponential_firstorder_Skewness,190,12,3.050941002789709,0.3783694128328588,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True,0.9254385964912282
7,shape2D_MajorAxisLength,190,12,274.4301896239755,35.71510566315418,2186.0,1.017760083008457e-07,0.9175438596491228,1.0480178152060055e-06,True,0.9175438596491228
8,square_glcm_Correlation,190,12,0.9733064558144028,0.5061145623315807,2174.0,1.4217008082813488e-07,0.9070175438596492,1.3541700198879847e-06,True,0.9070175438596492
9,square_glcm_Idn,190,12,0.9862955651635634,0.8882563146875405,2173.0,1.4616187477964497e-07,0.906140350877193,1.3582359583181642e-06,True,0.906140350877193
10,firstorder_10Percentile,190,12,-138.1114229237569,22.983499562119253,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
11,squareroot_firstorder_Minimum,190,12,-244.41243118102145,-69.98648391587649,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
12,square_firstorder_Skewness,190,12,1.5035629629530902,-0.1675223550891371,2169.0,1.6324071033831216e-07,0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
13,StdThickness,190,12,4.36220612343446,1.1286467519657708,2166.0,1.7730035359876726e-07,0.8999999999999999,1.378600708594496e-06,True,0.8999999999999999
14,square_glcm_ClusterShade,190,12,77.98308446723192,3.038826035349757,2166.0,1.7730035359876726e-07,0.8999999999999999,1.378600708594496e-06,True,0.8999999999999999
15,wavelet-L_firstorder_Range,190,12,589.0751333518923,312.12529205116005,2159.0,2.1480784847437305e-07,0.893859649122807,1.5441847220516248e-06,True,0.893859649122807
16,glcm_Imc2,190,12,0.9965756155832072,0.7559637919383402,2152.0,2.599297140844156e-07,0.8877192982456141,1.8006040193847694e-06,True,0.8877192982456141
17,wavelet-L_glcm_SumEntropy,190,12,5.157237563552312,3.2523247994416558,2150.0,2.7442048704158684e-07,0.8859649122807018,1.809375227449094e-06,True,0.8859649122807018
18,squareroot_glcm_Idmn,190,12,0.9981302190932784,0.966645089094312,2149.0,2.819554339655483e-07,0.8850877192982456,1.809375227449094e-06,True,0.8850877192982456
19,squareroot_glcm_Correlation,190,12,0.987330116261575,0.4896545902492402,2149.0,2.819554339655483e-07,0.8850877192982456,1.809375227449094e-06,True,0.8850877192982456
20,BoundingBoxWidth,190,12,87.85263157894737,18.166666666666668,2148.0,2.884766607357849e-07,0.8842105263157896,1.809375227449094e-06,True,0.8842105263157896
