Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
square_glcm_Idmn,190,12,0.9981618740357092,0.9541730733639814,2238.0,2.2930331528093223e-08,0.9631578947368422,8.070925546536554e-07,True,0.9631578947368422
shape2D_PerimeterSurfaceRatio,190,12,0.0940670787763994,0.6408293026714852,52.0,3.070272730834403e-08,-0.9543859649122808,8.070925546536554e-07,True,0.9543859649122808
Correlation,190,12,0.9572340801734868,0.7756819174611681,2228.0,3.070272730834403e-08,0.9543859649122808,8.070925546536554e-07,True,0.9543859649122808
CentroidY,190,12,144.19473684210527,44.0,2227.0,3.152905818135521e-08,0.9535087719298244,8.070925546536554e-07,True,0.9535087719298244
logarithm_firstorder_Energy,190,12,480796914.7158771,17690583.84595294,2222.0,3.6535184767572715e-08,0.949122807017544,8.070925546536554e-07,True,0.949122807017544
logarithm_firstorder_TotalEnergy,190,12,480796914.7158771,17690583.84595294,2222.0,3.6535184767572715e-08,0.949122807017544,8.070925546536554e-07,True,0.949122807017544
squareroot_firstorder_TotalEnergy,190,12,266383899.13713223,9917133.42544236,2220.0,3.8708099218688396e-08,0.9473684210526316,8.070925546536554e-07,True,0.9473684210526316
squareroot_firstorder_Energy,190,12,266383899.13713223,9917133.42544236,2220.0,3.8708099218688396e-08,0.9473684210526316,8.070925546536554e-07,True,0.9473684210526316
MaxThickness,190,12,26.17203958651084,7.16796563771072,2218.5,4.0080653120256654e-08,0.9460526315789476,8.070925546536554e-07,True,0.9460526315789476
firstorder_TotalEnergy,190,12,126959261.88636737,4489343.778518727,2216.0,4.3436175021452895e-08,0.9438596491228072,8.070925546536554e-07,True,0.9438596491228072
wavelet-L_firstorder_Energy,190,12,253878762.57892308,8926933.709385045,2216.0,4.3436175021452895e-08,0.9438596491228072,8.070925546536554e-07,True,0.9438596491228072
wavelet-L_firstorder_TotalEnergy,190,12,253878762.57892308,8926933.709385045,2216.0,4.3436175021452895e-08,0.9438596491228072,8.070925546536554e-07,True,0.9438596491228072
firstorder_Energy,190,12,126959261.88636737,4489343.778518727,2216.0,4.3436175021452895e-08,0.9438596491228072,8.070925546536554e-07,True,0.9438596491228072
MeanThickness,190,12,17.90947277517336,5.545320878584868,2215.0,4.470299755593232e-08,0.9429824561403508,8.070925546536554e-07,True,0.9429824561403508
wavelet-L_firstorder_Mean,190,12,-11.51036407081592,133.92174853859933,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True,0.9421052631578948
firstorder_Mean,190,12,-8.140612927643021,95.25762176608151,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True,0.9421052631578948
shape2D_MeshSurface,190,12,12022.552631578948,519.8333333333334,2213.0,4.7344982314654064e-08,0.9412280701754384,8.070925546536554e-07,True,0.9412280701754384
shape2D_PixelSurface,190,12,12023.052631578948,520.3333333333334,2213.0,4.7344982314654064e-08,0.9412280701754384,8.070925546536554e-07,True,0.9412280701754384
lbp-2D_firstorder_Energy,190,12,242623.36315789472,10457.25,2212.0,4.872212272187421e-08,0.9403508771929824,8.070925546536554e-07,True,0.9403508771929824
lbp-2D_firstorder_TotalEnergy,190,12,242623.36315789472,10457.25,2212.0,4.872212272187421e-08,0.9403508771929824,8.070925546536554e-07,True,0.9403508771929824
exponential_firstorder_Median,190,12,1.5026071951648516,15.976905129992394,74.0,5.783755108042455e-08,-0.9350877192982456,8.397437261915008e-07,True,0.9350877192982456
wavelet-L_firstorder_Median,190,12,-9.738881186336204,153.03751752786567,74.0,5.783755108042455e-08,-0.9350877192982456,8.397437261915008e-07,True,0.9350877192982456
firstorder_Median,190,12,-6.885975570526853,107.7188035491247,74.0,5.783755108042455e-08,-0.9350877192982456,8.397437261915008e-07,True,0.9350877192982456
squareroot_firstorder_Mean,190,12,-9.623455804626325,134.36256608394015,75.0,5.950939791908273e-08,-0.9342105263157896,8.397437261915008e-07,True,0.9342105263157896
square_firstorder_Energy,190,12,48959408.89774399,1356707.6914131662,2201.0,6.667742500154242e-08,0.9307017543859648,8.673075230093771e-07,True,0.9307017543859648
square_firstorder_TotalEnergy,190,12,48959408.89774399,1356707.6914131662,2201.0,6.667742500154242e-08,0.9307017543859648,8.673075230093771e-07,True,0.9307017543859648
squareroot_firstorder_Median,190,12,-20.229900568108988,159.67763185675145,80.0,6.859615823114696e-08,-0.9298245614035088,8.673075230093771e-07,True,0.9298245614035088
logarithm_firstorder_Mean,190,12,-11.18037953285316,167.842048674771,81.0,7.05683286438076e-08,-0.9289473684210526,8.673075230093771e-07,True,0.9289473684210526
Area,190,12,3923.6526315789474,195.04166666666663,2196.0,7.681500254923727e-08,0.9263157894736842,8.854961881114779e-07,True,0.9263157894736842
exponential_firstorder_Skewness,190,12,3.050941002789709,0.3783694128328588,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True,0.9254385964912282
shape2D_Perimeter,190,12,843.0099852800026,86.82327436675665,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True,0.9254385964912282
shape2D_MaximumDiameter,190,12,227.98897774462728,32.529483314392934,2193.0,8.360567368586614e-08,0.923684210526316,9.10107476409e-07,True,0.923684210526316
shape2D_MinorAxisLength,190,12,137.5289147169151,11.926270497200028,2192.0,8.599514675352167e-08,0.9228070175438596,9.101153031414376e-07,True,0.9228070175438596
shape2D_MajorAxisLength,190,12,274.4301896239755,35.71510566315418,2186.0,1.017760083008457e-07,0.9175438596491228,1.0480178152060055e-06,True,0.9175438596491228
exponential_firstorder_Kurtosis,190,12,14.33319344370917,2.8538682565864195,2180.0,1.2034372895037684e-07,0.912280701754386,1.2066042297393048e-06,True,0.912280701754386
logarithm_firstorder_Median,190,12,-37.93999685973355,206.65081025602737,103.0,1.308172433136745e-07,-0.9096491228070176,1.277983838525897e-06,True,0.9096491228070176
square_glcm_Correlation,190,12,0.9733064558144028,0.5061145623315807,2174.0,1.4217008082813488e-07,0.9070175438596492,1.3541700198879847e-06,True,0.9070175438596492
square_glcm_Idn,190,12,0.9862955651635634,0.8882563146875405,2173.0,1.4616187477964497e-07,0.906140350877193,1.3582359583181642e-06,True,0.906140350877193
square_glcm_MCC,190,12,0.9769103012854856,0.6625273532233787,2172.0,1.5026196998356602e-07,0.9052631578947368,1.3630907277080633e-06,True,0.9052631578947368
square_firstorder_Skewness,190,12,1.5035629629530902,-0.1675223550891371,2169.0,1.6324071033831216e-07,0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
squareroot_firstorder_Minimum,190,12,-244.41243118102145,-69.98648391587649,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
firstorder_10Percentile,190,12,-138.1114229237569,22.983499562119253,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True,0.9026315789473685
wavelet-L_firstorder_10Percentile,190,12,-195.2447269930663,33.53257968708036,112.0,1.6780301878704498e-07,-0.9017543859649124,1.378600708594496e-06,True,0.9017543859649124
squareroot_firstorder_10Percentile,190,12,-184.5225267194333,40.67084784347048,113.0,1.7248849966368521e-07,-0.9008771929824562,1.378600708594496e-06,True,0.9008771929824562
StdThickness,190,12,4.36220612343446,1.1286467519657708,2166.0,1.7730035359876726e-07,0.8999999999999999,1.378600708594496e-06,True,0.8999999999999999
square_glcm_ClusterShade,190,12,77.98308446723192,3.038826035349757,2166.0,1.7730035359876726e-07,0.8999999999999999,1.378600708594496e-06,True,0.8999999999999999
Perimeter,190,12,445.8236595091067,58.99484661221504,2165.0,1.8224186090649002e-07,0.8991228070175439,1.388682980107454e-06,True,0.8991228070175439
