Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant
lbp-2D_firstorder_10Percentile,190,12,3.0331578947368425,1.0583333333333333,2096.0,2.302916043691414e-19,0.8385964912280701,8.774110126464287e-17,True
lbp-2D_firstorder_InterquartileRange,190,12,0.8894736842105263,2.9583333333333335,170.0,1.583825602814652e-14,-0.8508771929824561,3.017187773361912e-12,True
gradient_firstorder_Minimum,190,12,0.09741105845100001,2.4723188281059265,417.0,3.781203177475736e-12,-0.6342105263157894,4.802128035394185e-10,True
firstorder_Mean,190,12,-8.140612927643021,95.25762176608153,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True
shape2D_PixelSurface,190,12,12023.052631578947,520.3333333333334,2213.0,4.7344982314654064e-08,0.9412280701754385,8.070925546536554e-07,True
shape2D_PerimeterSurfaceRatio,190,12,0.09406707877639942,0.6408293026714852,52.0,3.070272730834403e-08,-0.9543859649122807,8.070925546536554e-07,True
firstorder_TotalEnergy,190,12,126959261.88636735,4489343.778518727,2216.0,4.343617502145289e-08,0.9438596491228071,8.070925546536554e-07,True
squareroot_firstorder_TotalEnergy,190,12,266383899.13713226,9917133.42544236,2220.0,3.870809921868839e-08,0.9473684210526316,8.070925546536554e-07,True
shape2D_MeshSurface,190,12,12022.552631578947,519.8333333333334,2213.0,4.7344982314654064e-08,0.9412280701754385,8.070925546536554e-07,True
wavelet-L_firstorder_Mean,190,12,-11.510364070815921,133.92174853859933,66.0,4.6005607893292665e-08,-0.9421052631578948,8.070925546536554e-07,True
squareroot_firstorder_Energy,190,12,266383899.13713226,9917133.42544236,2220.0,3.870809921868839e-08,0.9473684210526316,8.070925546536554e-07,True
square_glcm_Idmn,190,12,0.9981618740357093,0.9541730733639814,2238.0,2.2930331528093226e-08,0.9631578947368422,8.070925546536554e-07,True
wavelet-L_firstorder_Energy,190,12,253878762.57892308,8926933.709385045,2216.0,4.343617502145289e-08,0.9438596491228071,8.070925546536554e-07,True
wavelet-L_firstorder_TotalEnergy,190,12,253878762.57892308,8926933.709385045,2216.0,4.343617502145289e-08,0.9438596491228071,8.070925546536554e-07,True
firstorder_Energy,190,12,126959261.88636735,4489343.778518727,2216.0,4.343617502145289e-08,0.9438596491228071,8.070925546536554e-07,True
Correlation,190,12,0.9572340801734868,0.7756819174611681,2228.0,3.070272730834403e-08,0.9543859649122808,8.070925546536554e-07,True
lbp-2D_firstorder_Energy,190,12,242623.36315789472,10457.25,2212.0,4.872212272187421e-08,0.9403508771929825,8.070925546536554e-07,True
logarithm_firstorder_TotalEnergy,190,12,480796914.7158771,17690583.84595294,2222.0,3.653518476757271e-08,0.9491228070175439,8.070925546536554e-07,True
lbp-2D_firstorder_TotalEnergy,190,12,242623.36315789472,10457.25,2212.0,4.872212272187421e-08,0.9403508771929825,8.070925546536554e-07,True
CentroidY,190,12,144.19473684210527,44.0,2227.0,3.152905818135521e-08,0.9535087719298245,8.070925546536554e-07,True
logarithm_firstorder_Energy,190,12,480796914.7158771,17690583.84595294,2222.0,3.653518476757271e-08,0.9491228070175439,8.070925546536554e-07,True
MeanThickness,190,12,17.90947277517336,5.545320878584868,2215.0,4.470299755593232e-08,0.9429824561403508,8.070925546536554e-07,True
MaxThickness,190,12,26.172039586510838,7.1679656377107195,2218.5,4.008065312025665e-08,0.9460526315789475,8.070925546536554e-07,True
firstorder_Median,190,12,-6.885975570526853,107.7188035491247,74.0,5.7837551080424545e-08,-0.9350877192982456,8.397437261915008e-07,True
exponential_firstorder_Median,190,12,1.5026071951648516,15.976905129992394,74.0,5.7837551080424545e-08,-0.9350877192982456,8.397437261915008e-07,True
squareroot_firstorder_Mean,190,12,-9.623455804626325,134.36256608394015,75.0,5.950939791908273e-08,-0.9342105263157895,8.397437261915008e-07,True
wavelet-L_firstorder_Median,190,12,-9.738881186336203,153.03751752786567,74.0,5.7837551080424545e-08,-0.9350877192982456,8.397437261915008e-07,True
logarithm_firstorder_Mean,190,12,-11.180379532853161,167.842048674771,81.0,7.056832864380759e-08,-0.9289473684210526,8.673075230093771e-07,True
square_firstorder_Energy,190,12,48959408.897743985,1356707.6914131662,2201.0,6.667742500154242e-08,0.9307017543859648,8.673075230093771e-07,True
square_firstorder_TotalEnergy,190,12,48959408.897743985,1356707.6914131662,2201.0,6.667742500154242e-08,0.9307017543859648,8.673075230093771e-07,True
squareroot_firstorder_Median,190,12,-20.229900568108988,159.67763185675145,80.0,6.859615823114695e-08,-0.9298245614035088,8.673075230093771e-07,True
exponential_firstorder_Skewness,190,12,3.050941002789709,0.3783694128328588,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True
Area,190,12,3923.6526315789474,195.04166666666666,2196.0,7.681500254923727e-08,0.9263157894736842,8.854961881114779e-07,True
shape2D_Perimeter,190,12,843.0099852800026,86.82327436675665,2195.0,7.902065720679854e-08,0.9254385964912282,8.854961881114779e-07,True
shape2D_MaximumDiameter,190,12,227.98897774462728,32.529483314392934,2193.0,8.360567368586613e-08,0.9236842105263159,9.101074764089999e-07,True
shape2D_MinorAxisLength,190,12,137.5289147169151,11.926270497200028,2192.0,8.599514675352166e-08,0.9228070175438596,9.101153031414376e-07,True
shape2D_MajorAxisLength,190,12,274.4301896239755,35.71510566315418,2186.0,1.017760083008457e-07,0.9175438596491228,1.0480178152060057e-06,True
exponential_firstorder_Kurtosis,190,12,14.33319344370917,2.8538682565864195,2180.0,1.2034372895037684e-07,0.9122807017543859,1.2066042297393048e-06,True
logarithm_firstorder_Median,190,12,-37.93999685973355,206.65081025602737,103.0,1.308172433136745e-07,-0.9096491228070176,1.277983838525897e-06,True
square_glcm_Correlation,190,12,0.9733064558144028,0.5061145623315807,2174.0,1.4217008082813488e-07,0.9070175438596491,1.3541700198879847e-06,True
square_glcm_Idn,190,12,0.9862955651635634,0.8882563146875405,2173.0,1.4616187477964497e-07,0.906140350877193,1.3582359583181642e-06,True
square_glcm_MCC,190,12,0.9769103012854856,0.6625273532233787,2172.0,1.5026196998356602e-07,0.9052631578947368,1.3630907277080633e-06,True
square_glcm_ClusterShade,190,12,77.98308446723192,3.038826035349757,2166.0,1.7730035359876724e-07,0.8999999999999999,1.378600708594496e-06,True
squareroot_firstorder_Minimum,190,12,-244.41243118102145,-69.98648391587649,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True
firstorder_10Percentile,190,12,-138.1114229237569,22.983499562119253,111.0,1.6324071033831216e-07,-0.9026315789473685,1.378600708594496e-06,True
squareroot_firstorder_10Percentile,190,12,-184.5225267194333,40.670847843470476,113.0,1.7248849966368521e-07,-0.9008771929824562,1.378600708594496e-06,True
StdThickness,190,12,4.36220612343446,1.1286467519657708,2166.0,1.7730035359876724e-07,0.8999999999999999,1.378600708594496e-06,True
square_firstorder_Skewness,190,12,1.5035629629530902,-0.16752235508913715,2169.0,1.6324071033831216e-07,0.9026315789473685,1.378600708594496e-06,True
wavelet-L_firstorder_10Percentile,190,12,-195.2447269930663,33.53257968708036,112.0,1.6780301878704496e-07,-0.9017543859649123,1.378600708594496e-06,True
Perimeter,190,12,445.8236595091067,58.99484661221504,2165.0,1.8224186090649002e-07,0.8991228070175439,1.388682980107454e-06,True
wavelet-L_firstorder_Range,190,12,589.0751333518923,312.12529205116005,2159.0,2.1480784847437302e-07,0.893859649122807,1.5441847220516248e-06,True
exponential_firstorder_10Percentile,190,12,0.13081992356814082,4.859852832429404,120.0,2.09014828557219e-07,-0.8947368421052632,1.5441847220516248e-06,True
firstorder_Range,190,12,416.05729130592664,221.50812808017952,2159.0,2.1480784847437302e-07,0.893859649122807,1.5441847220516248e-06,True
square_firstorder_Range,190,12,221.59354394435164,99.983168520608,2158.0,2.207558792742375e-07,0.8929824561403508,1.557555370434898e-06,True
glcm_Imc2,190,12,0.9965756155832072,0.7559637919383402,2152.0,2.5992971408441556e-07,0.8877192982456141,1.8006040193847694e-06,True
squareroot_glcm_Idmn,190,12,0.9981302190932785,0.9666450890943121,2149.0,2.819554339655483e-07,0.8850877192982456,1.809375227449094e-06,True
squareroot_glcm_Correlation,190,12,0.987330116261575,0.4896545902492402,2149.0,2.819554339655483e-07,0.8850877192982456,1.809375227449094e-06,True
BoundingBoxWidth,190,12,87.85263157894737,18.166666666666668,2148.0,2.884766607357849e-07,0.8842105263157896,1.809375227449094e-06,True
firstorder_Minimum,190,12,-231.4733426721829,-63.71304483531094,132.0,2.896899970456555e-07,-0.8842105263157894,1.809375227449094e-06,True
wavelet-L_glcm_SumEntropy,190,12,5.157237563552312,3.2523247994416553,2150.0,2.7442048704158684e-07,0.8859649122807018,1.809375227449094e-06,True
wavelet-L_firstorder_Minimum,190,12,-327.57108130486034,-86.94778518639951,129.0,2.6708019482712026e-07,-0.8868421052631579,1.809375227449094e-06,True
wavelet-H_glcm_SumSquares,190,12,0.24634125923636133,0.6906960984180531,133.5,3.0167428962624615e-07,-0.8828947368421053,1.8492314274919046e-06,True
square_glcm_ClusterProminence,190,12,1081.091287514275,71.427754299538,2146.0,3.0577842501834645e-07,0.8824561403508773,1.8492314274919046e-06,True
SkeletonLength,190,12,172.94210526315788,19.083333333333332,2144.5,3.180123662853396e-07,0.8811403508771929,1.8916821885001198e-06,True
wavelet-L_glcm_Imc2,190,12,0.9935165018293377,0.8523560744585246,2144.0,3.227279324212803e-07,0.880701754385965,1.8916821885001198e-06,True
squareroot_firstorder_Range,190,12,463.85421240479735,267.5798092810811,2143.0,3.315393306355817e-07,0.8798245614035087,1.913886135941767e-06,True
squareroot_glcm_Idn,190,12,0.9808140024046308,0.9172129097812246,2141.0,3.498640713421278e-07,0.8780701754385964,1.9318581330630533e-06,True
logarithm_glcm_MCC,190,12,0.9880659071612465,0.5961733524847423,2142.0,3.405827538983651e-07,0.8789473684210527,1.9318581330630533e-06,True
squareroot_glcm_MCC,190,12,0.9897506342251233,0.6795900119248716,2141.0,3.498640713421278e-07,0.8780701754385964,1.9318581330630533e-06,True
BoundingBoxHeight,190,12,131.56315789473683,18.083333333333332,2139.5,3.633469822006529e-07,0.8767543859649123,1.9497915523725177e-06,True
squareroot_firstorder_Entropy,190,12,3.9127432611029187,2.277514175612326,2140.0,3.59389293993618e-07,0.8771929824561404,1.9497915523725177e-06,True
squareroot_glcm_SumEntropy,190,12,4.699905807500834,2.769979056451986,2136.0,4.00054607887849e-07,0.8736842105263158,2.1155525461632403e-06,True
logarithm_firstorder_10Percentile,190,12,-222.97343930700976,58.4057631959476,145.0,4.108947202521779e-07,-0.8728070175438596,2.1155525461632403e-06,True
logarithm_glcm_Correlation,190,12,0.9801823702721989,0.40583989874508136,2135.0,4.108947202521779e-07,0.8728070175438596,2.1155525461632403e-06,True
wavelet-L_firstorder_Skewness,190,12,-0.06661611477805499,-1.269401739233238,2134.0,4.220179711638538e-07,0.8719298245614036,2.143851293512377e-06,True
square_firstorder_Maximum,190,12,221.61693008160572,109.21377162282704,2133.0,4.334314601468145e-07,0.8710526315789473,2.17286034626232e-06,True
squareroot_glcm_Imc2,190,12,0.9960860484295812,0.7681382451107625,2132.0,4.4514245672622365e-07,0.8701754385964913,2.2025880001648207e-06,True
wavelet-L_firstorder_Entropy,190,12,4.2821418003626555,2.7749885255390083,2128.0,4.951130780780975e-07,0.8666666666666667,2.4184369583045533e-06,True
exponential_firstorder_Minimum,190,12,0.030985109236508206,2.3746878316379205,156.0,5.504722814134963e-07,-0.8631578947368421,2.654809357196735e-06,True
glcm_SumEntropy,190,12,4.595319498437121,2.8796203339320123,2122.0,5.803441690612879e-07,0.8614035087719298,2.7638891051543837e-06,True
wavelet-H_firstorder_Variance,190,12,1.9298583889417853,378.02269213759195,159.0,5.958601927531664e-07,-0.8605263157894737,2.8027497955426717e-06,True
wavelet-H_firstorder_RootMeanSquared,190,12,1.3192165705114578,16.91042499263907,160.0,6.117757095653852e-07,-0.8596491228070176,2.842518845663558e-06,True
squareroot_firstorder_Uniformity,190,12,0.08249894481206184,0.31126106788171976,162.0,6.448449049002708e-07,-0.8578947368421053,2.9600711899638932e-06,True
glcm_Imc1,190,12,-0.7048584819076383,-0.3120515062764202,165.0,6.976991148646884e-07,-0.8552631578947368,3.1645638424219796e-06,True
logarithm_firstorder_Skewness,190,12,0.06634223531049022,-1.9833971742196683,2114.0,7.162270131558738e-07,0.8543859649122807,3.2103822589692696e-06,True
wavelet-H_firstorder_MeanAbsoluteDeviation,190,12,0.9366226545424647,12.328469598986395,167.0,7.352285028505448e-07,-0.8535087719298246,3.257233251000669e-06,True
firstorder_Entropy,190,12,3.804109059386242,2.3683145245077917,2112.0,7.547151841788998e-07,0.8526315789473684,3.3051320134731127e-06,True
logarithm_firstorder_Entropy,190,12,3.520822927489868,1.9391140998404912,2111.0,7.746989280962199e-07,0.8517543859649124,3.3540942227802247e-06,True
exponential_firstorder_Energy,190,12,2107073.8691682094,108439.99109251716,2103.0,9.539818338696948e-07,0.8447368421052632,3.9941437220258654e-06,True
squareroot_firstorder_Skewness,190,12,0.04680589994497461,-1.6309779487009572,2103.0,9.539818338696948e-07,0.8447368421052632,3.9941437220258654e-06,True
exponential_firstorder_TotalEnergy,190,12,2107073.8691682094,108439.99109251716,2103.0,9.539818338696948e-07,0.8447368421052632,3.9941437220258654e-06,True
wavelet-L_firstorder_Uniformity,190,12,0.06447668590871901,0.24450752850386917,180.0,1.0310109039064517e-06,-0.8421052631578947,4.1989073943644555e-06,True
logarithm_glcm_SumEntropy,190,12,4.213298948969687,2.412396315816126,2099.0,1.0579924143280517e-06,0.8412280701754387,4.1989073943644555e-06,True
lbp-2D_firstorder_Variance,190,12,1.6014323099764696,6.233944662793095,181.0,1.0579924143280517e-06,-0.8412280701754387,4.1989073943644555e-06,True
wavelet-H_firstorder_10Percentile,190,12,-1.4673353450954534,-21.464419573906486,2099.0,1.0579924143280517e-06,0.8412280701754387,4.1989073943644555e-06,True
wavelet-H_firstorder_90Percentile,190,12,1.4291436206481445,17.241073743034324,181.0,1.0579924143280517e-06,-0.8412280701754387,4.1989073943644555e-06,True
logarithm_firstorder_Uniformity,190,12,0.11972425623599754,0.39034876848162076,182.0,1.0856528395401596e-06,-0.8403508771929824,4.264265276956709e-06,True
lbp-2D_firstorder_Kurtosis,190,12,6.562029171159058,3.2120444089515714,2097.0,1.114008527365714e-06,0.8394736842105264,4.2872449386498695e-06,True
wavelet-H_firstorder_InterquartileRange,190,12,1.593438463900026,16.465787732640646,183.0,1.114008527365714e-06,-0.8394736842105264,4.2872449386498695e-06,True
logarithm_firstorder_Minimum,190,12,-254.63525232867315,-74.52082772264994,184.0,1.1430762000361708e-06,-0.8385964912280701,4.355120322137811e-06,True
logarithm_glcm_Imc2,190,12,0.9943991842455061,0.6786002029695196,2095.0,1.1728729622805955e-06,0.8377192982456141,4.42440196662284e-06,True
glcm_MaximumProbability,190,12,0.10405013659658473,0.3057924605900976,186.0,1.2034163095775951e-06,-0.8368421052631578,4.495113862245723e-06,True
squareroot_glcm_Imc1,190,12,-0.6801589929673489,-0.3283400132175482,188.0,1.266814745668381e-06,-0.8350877192982455,4.685984641744206e-06,True
exponential_firstorder_Mean,190,12,6.026766528224664,17.669268803539538,190.0,1.3334196112608117e-06,-0.8333333333333334,4.88493146048432e-06,True
square_glcm_Imc2,190,12,0.9607452667922043,0.7453594509133041,2089.0,1.367972591042777e-06,0.8324561403508772,4.916958086672622e-06,True
wavelet-H_firstorder_RobustMeanAbsoluteDeviation,190,12,0.5880336758584161,7.492903851703051,191.0,1.367972591042777e-06,-0.8324561403508772,4.916958086672622e-06,True
wavelet-L_glcm_Imc1,190,12,-0.6724362303232788,-0.41055065755464265,192.0,1.4033858179005558e-06,-0.8315789473684211,4.997102772150577e-06,True
gradient_glcm_Imc1,190,12,-0.6940349638165393,-0.3195724032810969,192.5,1.42140889500814e-06,-0.831140350877193,5.014414712945383e-06,True
wavelet-L_glcm_MaximumProbability,190,12,0.07460723311811615,0.28072816582830723,194.0,1.4768753802964692e-06,-0.8298245614035088,5.115359271754134e-06,True
wavelet-L_glcm_ClusterProminence,190,12,41125.999734752106,7910.117764614174,2086.0,1.4768753802964692e-06,0.8298245614035087,5.115359271754134e-06,True
logarithm_glcm_ClusterProminence,190,12,79757.26223347777,21207.495430905463,2079.0,1.7643519741411035e-06,0.8236842105263158,6.001947340605004e-06,True
glcm_ClusterProminence,190,12,10330.032505905952,2106.5981410284353,2079.0,1.7643519741411035e-06,0.8236842105263158,6.001947340605004e-06,True
logarithm_glcm_ClusterTendency,190,12,226.5358204457161,58.06815191430769,2076.0,1.9033809209344932e-06,0.8210526315789475,6.302706998921692e-06,True
firstorder_Uniformity,190,12,0.08542267465817208,0.29326747616784893,205.0,1.9520194904796844e-06,-0.8201754385964912,6.302706998921692e-06,True
gradient_firstorder_Energy,190,12,6821587.874958114,753830.7291327828,2075.0,1.9520194904796844e-06,0.8201754385964912,6.302706998921692e-06,True
square_glcm_DifferenceVariance,190,12,0.12036665141661552,0.46255073728456825,204.0,1.9033809209344932e-06,-0.8210526315789474,6.302706998921692e-06,True
squareroot_glcm_JointEnergy,190,12,0.05216904976015039,0.18558271603658413,205.0,1.9520194904796844e-06,-0.8201754385964912,6.302706998921692e-06,True
gradient_firstorder_TotalEnergy,190,12,6821587.874958114,753830.7291327828,2075.0,1.9520194904796844e-06,0.8201754385964912,6.302706998921692e-06,True
square_glcm_Contrast,190,12,0.14310212224593744,0.8972363802751248,206.0,2.001850897633953e-06,-0.8192982456140351,6.3558765999878004e-06,True
wavelet-L_glcm_ClusterTendency,190,12,124.53187995638083,36.44278275648142,2074.0,2.001850897633953e-06,0.8192982456140352,6.3558765999878004e-06,True
square_firstorder_10Percentile,190,12,1.4383701326134894,20.771803320413515,207.0,2.05290307252977e-06,-0.8184210526315789,6.4640997573044824e-06,True
lbp-2D_firstorder_MeanAbsoluteDeviation,190,12,0.8389413313294923,1.918744120496944,208.0,2.1052045654550605e-06,-0.8175438596491228,6.5209995076290904e-06,True
glcm_ClusterTendency,190,12,62.38111989877816,18.439364347059968,2072.0,2.1052045654550605e-06,0.8175438596491229,6.5209995076290904e-06,True
squareroot_glcm_ClusterTendency,190,12,127.82279459263093,34.79348903446397,2070.0,2.2136728851917664e-06,0.8157894736842106,6.801688461758573e-06,True
logarithm_firstorder_Range,190,12,499.6984245371259,302.69202480053127,2068.0,2.3274971601307086e-06,0.8140350877192983,7.037908079442857e-06,True
squareroot_glcm_ClusterProminence,190,12,30161.113262095165,7607.3492377558505,2068.0,2.3274971601307086e-06,0.8140350877192983,7.037908079442857e-06,True
wavelet-L_glcm_SumSquares,190,12,31.25280306093978,9.86489673304205,2067.0,2.3864961226463125e-06,0.8131578947368421,7.159488367938937e-06,True
CentroidX,190,12,97.26315789473684,44.833333333333336,2065.5,2.4694529868983968e-06,0.8118421052631579,7.350481156314759e-06,True
squareroot_glcm_MaximumProbability,190,12,0.1111802806565791,0.32263621357103645,215.0,2.5087883107591738e-06,-0.8114035087719298,7.352803150368507e-06,True
square_glcm_DifferenceEntropy,190,12,0.5725435485052108,1.2463826912308615,215.0,2.5088304712543463e-06,-0.8114035087719298,7.352803150368507e-06,True
square_glcm_DifferenceAverage,190,12,0.14025928573234536,0.6093445749744514,217.0,2.637172173637001e-06,-0.8096491228070175,7.554606001170657e-06,True
squareroot_firstorder_MeanAbsoluteDeviation,190,12,125.42784563458949,52.36095765443488,2063.0,2.637172173637001e-06,0.8096491228070175,7.554606001170657e-06,True
logarithm_glcm_Imc1,190,12,-0.675985703538768,-0.293141172835141,217.0,2.637172173637001e-06,-0.8096491228070175,7.554606001170657e-06,True
logarithm_glcm_SumSquares,190,12,57.15250189439116,16.30362179749575,2062.0,2.703683126027754e-06,0.8087719298245615,7.68733784340727e-06,True
lbp-2D_firstorder_RobustMeanAbsoluteDeviation,190,12,0.4879767571130178,1.5452516177020195,219.0,2.7718022643089316e-06,-0.8078947368421052,7.733120708223004e-06,True
squareroot_firstorder_RobustMeanAbsoluteDeviation,190,12,104.55533108712706,33.60076987797206,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True
square_glcm_Idm,190,12,0.9301546407851866,0.7231865542787715,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True
squareroot_glcm_SumSquares,190,12,32.13601304396459,9.656925940310357,2061.0,2.7718022643089316e-06,0.8078947368421052,7.733120708223004e-06,True
logarithm_firstorder_Variance,190,12,35747.71092398467,11515.414794125383,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True
logarithm_firstorder_InterquartileRange,190,12,360.6491360055004,82.43951570844133,2060.0,2.8415666644388992e-06,0.8070175438596492,7.733120708223004e-06,True
squareroot_firstorder_Variance,190,12,20074.498118779095,6855.721305861144,2058.0,2.9861836163430223e-06,0.8052631578947369,7.81990485116258e-06,True
gradient_glcm_SumEntropy,190,12,1.1915021936588075,2.3023272601953844,223.5,3.0992273819568233e-06,-0.8039473684210526,7.81990485116258e-06,True
gradient_glcm_SumAverage,190,12,2.5901235559369784,4.08334011908369,222.5,3.0234013334501457e-06,-0.8048245614035088,7.81990485116258e-06,True
square_glcm_Imc1,190,12,-0.7025909184447066,-0.29459931706476433,223.0,3.061114432261081e-06,-0.8043859649122806,7.81990485116258e-06,True
gradient_glcm_JointAverage,190,12,1.2950617779684892,2.041670059541845,222.5,3.0234013334501457e-06,-0.8048245614035088,7.81990485116258e-06,True
logarithm_firstorder_Kurtosis,190,12,1.7694487907695458,7.978627946230946,222.0,2.9861836163430223e-06,-0.8052631578947369,7.81990485116258e-06,True
gradient_firstorder_RootMeanSquared,190,12,23.525739623931813,50.7994123922112,223.0,3.061114432261081e-06,-0.8043859649122806,7.81990485116258e-06,True
gradient_glcm_Autocorrelation,190,12,2.0034919571207896,5.416893944098814,222.5,3.0234013334501457e-06,-0.8048245614035088,7.81990485116258e-06,True
gradient_firstorder_Uniformity,190,12,0.6325825137989249,0.3649703731305493,2056.5,3.0992273819568233e-06,0.8039473684210525,7.81990485116258e-06,True
logarithm_firstorder_RobustMeanAbsoluteDeviation,190,12,155.4832067209032,40.241021319193436,2059.0,2.9130142115188656e-06,0.8061403508771929,7.81990485116258e-06,True
gradient_firstorder_Entropy,190,12,0.9548540050465836,1.8229292476985337,221.5,2.9493567818354992e-06,-0.8057017543859649,7.81990485116258e-06,True
gradient_firstorder_Mean,190,12,18.52029960319481,40.23314525014416,224.0,3.137847072358987e-06,-0.8035087719298246,7.865261411636671e-06,True
gradient_glcm_JointEnergy,190,12,0.5935489468907673,0.2572498803829751,2055.5,3.176875776605055e-06,0.8030701754385965,7.911043600565528e-06,True
square_glcm_Id,190,12,0.9303331227365995,0.73724765288913,2055.0,3.2164228269627557e-06,0.8026315789473684,7.957513617355908e-06,True
gradient_firstorder_90Percentile,190,12,36.82489984386846,85.93298688928287,227.0,3.379273334524129e-06,-0.8008771929824561,8.148754053504388e-06,True
gradient_glcm_JointEntropy,190,12,1.2460123543088477,2.9059363543333956,226.5,3.337807449875785e-06,-0.8013157894736842,8.148754053504388e-06,True
shape2D_Sphericity,190,12,0.48318450413941755,0.7604189556949287,227.0,3.379273334524129e-06,-0.8008771929824561,8.148754053504388e-06,True
glcm_SumSquares,190,12,15.671808391405676,5.111515632717066,2053.0,3.379273334524129e-06,0.8008771929824561,8.148754053504388e-06,True
logarithm_glcm_JointEntropy,190,12,4.66556347610484,2.916253698398148,2052.0,3.4636352165074532e-06,0.8,8.196552903660495e-06,True
gradient_glcm_MaximumProbability,190,12,0.7419574753691991,0.3841817572551227,2052.5,3.421176929883681e-06,0.8004385964912282,8.196552903660495e-06,True
logarithm_firstorder_MeanAbsoluteDeviation,190,12,174.5127814751974,63.43675966459647,2052.0,3.4636352165074532e-06,0.8,8.196552903660495e-06,True
gradient_firstorder_InterquartileRange,190,12,15.903569938634572,39.019154166181885,230.0,3.638457161018976e-06,-0.7982456140350878,8.452757185050182e-06,True
gradient_firstorder_RobustMeanAbsoluteDeviation,190,12,6.821840370977435,17.04619098214148,230.0,3.638457161018976e-06,-0.7982456140350878,8.452757185050182e-06,True
gradient_firstorder_MeanAbsoluteDeviation,190,12,10.624916836301361,24.656728923327012,230.0,3.638457161018976e-06,-0.7982456140350878,8.452757185050182e-06,True
squareroot_firstorder_InterquartileRange,190,12,250.1099796321108,74.65020567879951,2049.0,3.7290101144984804e-06,0.7973684210526315,8.61062335529649e-06,True
gradient_glcm_SumSquares,190,12,0.3368894476299982,1.5658973349942553,231.5,3.7750622585660795e-06,-0.7969298245614035,8.664450123576362e-06,True
squareroot_glcm_JointEntropy,190,12,5.16382614756866,3.458930306174718,2046.0,4.013815443279772e-06,0.7947368421052632,9.111436670664164e-06,True
square_firstorder_Minimum,190,12,0.023386137254082003,9.230603102219028,235.0,4.113299494368074e-06,-0.793859649122807,9.111436670664164e-06,True
wavelet-H_glcm_Idm,190,12,0.8701923163683425,0.6400197420162953,2045.0,4.113299494368074e-06,0.7938596491228069,9.111436670664164e-06,True
wavelet-H_glcm_DifferenceAverage,190,12,0.25962228173661916,0.8612059037988186,235.0,4.113266356650732e-06,-0.793859649122807,9.111436670664164e-06,True
wavelet-H_glcm_Id,190,12,0.8701933065301573,0.6608970825939263,2045.0,4.113299494368074e-06,0.7938596491228069,9.111436670664164e-06,True
wavelet-H_glcm_Contrast,190,12,0.25965685410314054,1.6581931022679124,235.0,4.113299494368074e-06,-0.793859649122807,9.111436670664164e-06,True
gradient_firstorder_Median,190,12,14.945832480882343,30.849438399076462,236.0,4.215144098086355e-06,-0.7929824561403509,9.283063013704632e-06,True
wavelet-H_glcm_Correlation,190,12,0.47261182355831205,-0.1710383643701717,2042.0,4.426129332033834e-06,0.7912280701754386,9.581564065368697e-06,True
gradient_firstorder_Variance,190,12,219.06009240682346,1117.606312681013,238.0,4.426129332033834e-06,-0.7912280701754386,9.581564065368697e-06,True
square_glcm_InverseVariance,190,12,0.13787607500964535,0.4082180848600492,238.0,4.426129332033834e-06,-0.7912280701754386,9.581564065368697e-06,True
logarithm_glcm_JointEnergy,190,12,0.08965295865713173,0.27607294685570666,239.0,4.535380011278754e-06,-0.7903508771929825,9.707751597175309e-06,True
wavelet-L_firstorder_MeanAbsoluteDeviation,190,12,112.30886207326662,57.57852221646332,2041.0,4.535380011278754e-06,0.7903508771929824,9.707751597175309e-06,True
