original_subject,augmented_subject,augmentation_number
s0147,s0147_aug_000,1
s0147,s0147_aug_001,2
s0147,s0147_aug_002,3
s0147,s0147_aug_003,4
s0147,s0147_aug_004,5
s0147,s0147_aug_005,6
s0147,s0147_aug_006,7
s0147,s0147_aug_007,8
s0147,s0147_aug_008,9
s0147,s0147_aug_009,10
s0147,s0147_aug_010,11
s0147,s0147_aug_011,12
s0147,s0147_aug_012,13
s0147,s0147_aug_013,14
s0147,s0147_aug_014,15
s0147,s0147_aug_015,16
s0147,s0147_aug_016,17
s0147,s0147_aug_017,18
s0147,s0147_aug_018,19
s0147,s0147_aug_019,20
s0147,s0147_aug_020,21
s0147,s0147_aug_021,22
s0147,s0147_aug_022,23
s0147,s0147_aug_023,24
s0147,s0147_aug_024,25
s0147,s0147_aug_025,26
s0147,s0147_aug_026,27
s0147,s0147_aug_027,28
s0147,s0147_aug_028,29
s0147,s0147_aug_029,30
s0147,s0147_aug_030,31
s0147,s0147_aug_031,32
s0147,s0147_aug_032,33
s0147,s0147_aug_033,34
s0147,s0147_aug_034,35
s0147,s0147_aug_035,36
s0147,s0147_aug_036,37
s0147,s0147_aug_037,38
s0147,s0147_aug_038,39
s0147,s0147_aug_039,40
s0147,s0147_aug_040,41
s0147,s0147_aug_041,42
s0147,s0147_aug_042,43
s0147,s0147_aug_043,44
s0147,s0147_aug_044,45
s0147,s0147_aug_045,46
s0147,s0147_aug_046,47
s0147,s0147_aug_047,48
s0147,s0147_aug_048,49
s0147,s0147_aug_049,50
s0160,s0160_aug_000,1
s0160,s0160_aug_001,2
s0160,s0160_aug_002,3
s0160,s0160_aug_003,4
s0160,s0160_aug_004,5
s0160,s0160_aug_005,6
s0160,s0160_aug_006,7
s0160,s0160_aug_007,8
s0160,s0160_aug_008,9
s0160,s0160_aug_009,10
s0160,s0160_aug_010,11
s0160,s0160_aug_011,12
s0160,s0160_aug_012,13
s0160,s0160_aug_013,14
s0160,s0160_aug_014,15
s0160,s0160_aug_015,16
s0160,s0160_aug_016,17
s0160,s0160_aug_017,18
s0160,s0160_aug_018,19
s0160,s0160_aug_019,20
s0160,s0160_aug_020,21
s0160,s0160_aug_021,22
s0160,s0160_aug_022,23
s0160,s0160_aug_023,24
s0160,s0160_aug_024,25
s0160,s0160_aug_025,26
s0160,s0160_aug_026,27
s0160,s0160_aug_027,28
s0160,s0160_aug_028,29
s0160,s0160_aug_029,30
s0160,s0160_aug_030,31
s0160,s0160_aug_031,32
s0160,s0160_aug_032,33
s0160,s0160_aug_033,34
s0160,s0160_aug_034,35
s0160,s0160_aug_035,36
s0160,s0160_aug_036,37
s0160,s0160_aug_037,38
s0160,s0160_aug_038,39
s0160,s0160_aug_039,40
s0160,s0160_aug_040,41
s0160,s0160_aug_041,42
s0160,s0160_aug_042,43
s0160,s0160_aug_043,44
s0160,s0160_aug_044,45
s0160,s0160_aug_045,46
s0160,s0160_aug_046,47
s0160,s0160_aug_047,48
s0160,s0160_aug_048,49
s0160,s0160_aug_049,50
