File,Midline,X1,Y1,X2,Y2,ROI_Width,ROI_Height
s0001.png,214,102,93,380,243,278,150
s0002.png,232,106,77,412,381,306,304
s0003.png,315,93,51,349,270,256,219
s0004.png,256,153,246,437,323,284,77
s0005.png,227,146,214,405,305,259,91
s0006.png,256,91,71,344,365,253,294
s0007.png,341,188,163,338,243,150,80
s0008.png,329,89,96,313,291,224,195
s0009.png,256,106,239,284,332,178,93
s0010.png,204,86,178,310,360,224,182
s0011.png,319,127,65,303,371,176,306
s0012.png,229,87,58,308,311,221,253
s0013.png,197,107,95,264,310,157,215
s0014.png,245,140,87,260,290,120,203
s0015.png,245,118,89,295,288,177,199
s0016.png,227,72,98,372,276,300,178
s0017.png,330,122,98,283,285,161,187
s0018.png,337,93,87,282,276,189,189
s0019.png,240,248,234,357,306,109,72
s0020.png,218,132,87,287,271,155,184
s0021.png,208,88,97,302,300,214,203
s0022.png,222,143,66,288,377,145,311
s0023.png,171,117,70,289,361,172,291
s0024.png,271,124,125,231,227,107,102
s0025.png,317,111,64,353,332,242,268
s0026.png,256,94,76,276,375,182,299
s0027.png,183,58,108,432,255,374,147
s0028.png,174,89,78,298,309,209,231
s0029.png,267,80,40,363,315,283,275
s0030.png,357,91,195,290,363,199,168
s0031.png,191,94,68,277,385,183,317
s0032.png,357,182,224,417,300,235,76
s0033.png,256,98,67,297,389,199,322
s0034.png,300,261,235,412,310,151,75
s0035.png,271,250,249,394,287,144,38
s0036.png,153,105,95,277,309,172,214
s0037.png,256,176,168,385,234,209,66
s0038.png,343,92,102,287,273,195,171
s0039.png,239,143,177,267,356,124,179
s0040.png,197,88,83,303,377,215,294
s0041.png,296,144,170,290,229,146,59
s0042.png,222,90,247,295,351,205,104
s0043.png,243,227,228,409,289,182,61
s0044.png,225,94,142,276,369,182,227
s0045.png,351,122,61,299,387,177,326
s0046.png,357,116,115,384,250,268,135
s0047.png,230,118,66,305,168,187,102
s0048.png,168,91,58,408,304,317,246
s0049.png,153,82,144,330,301,248,157
s0050.png,357,131,237,426,301,295,64
s0051.png,301,159,176,383,231,224,55
s0052.png,225,136,94,282,302,146,208
s0053.png,256,127,60,290,383,163,323
s0054.png,256,158,193,379,317,221,124
s0055.png,264,127,91,304,278,177,187
s0056.png,209,97,124,265,335,168,211
s0057.png,352,118,90,327,305,209,215
s0058.png,336,132,107,278,270,146,163
s0059.png,357,145,95,324,166,179,71
s0060.png,341,136,74,328,165,192,91
s0061.png,256,90,79,295,304,205,225
s0062.png,273,249,174,383,230,134,56
s0063.png,266,112,69,304,381,192,312
s0064.png,333,150,172,390,228,240,56
s0065.png,234,181,174,364,229,183,55
s0066.png,262,158,235,410,331,252,96
s0067.png,233,88,94,304,171,216,77
s0068.png,208,132,95,266,370,134,275
s0069.png,184,74,71,384,311,310,240
s0070.png,256,129,81,329,317,200,236
s0071.png,256,142,100,297,266,155,166
s0072.png,211,113,104,270,259,157,155
s0073.png,350,170,167,433,238,263,71
s0074.png,203,187,111,370,177,183,66
s0075.png,212,102,63,295,390,193,327
s0076.png,238,112,99,311,302,199,203
s0077.png,217,106,75,293,355,187,280
s0078.png,220,101,90,309,289,208,199
s0079.png,256,230,256,419,300,189,44
s0080.png,327,94,45,334,314,240,269
s0081.png,298,146,161,367,222,221,61
s0082.png,212,73,98,368,184,295,86
s0083.png,256,204,246,419,294,215,48
s0084.png,296,207,168,364,240,157,72
s0085.png,287,155,259,263,326,108,67
s0086.png,171,173,174,383,273,210,99
s0087.png,175,100,87,283,308,183,221
s0088.png,271,118,61,334,381,216,320
s0089.png,224,115,57,282,379,167,322
s0090.png,353,94,69,277,300,183,231
s0091.png,221,255,56,353,163,98,107
s0092.png,226,148,109,283,200,135,91
s0093.png,307,82,93,361,272,279,179
s0094.png,261,143,239,343,353,200,114
s0095.png,189,217,61,369,143,152,82
s0096.png,256,90,88,310,222,220,134
s0097.png,208,93,76,286,349,193,273
s0098.png,265,125,52,344,373,219,321
s0099.png,158,256,246,413,302,157,56
s0100.png,351,113,262,300,348,187,86
s0101.png,232,108,76,296,254,188,178
s0102.png,227,140,100,269,204,129,104
s0103.png,326,116,100,423,182,307,82
s0104.png,179,140,101,271,338,131,237
s0105.png,224,99,105,262,217,163,112
s0106.png,210,98,116,261,359,163,243
s0107.png,263,118,38,323,393,205,355
s0108.png,234,137,41,281,385,144,344
s0109.png,169,95,92,400,258,305,166
s0110.png,202,80,59,336,278,256,219
s0111.png,256,178,163,386,250,208,87
s0112.png,357,161,80,300,369,139,289
s0113.png,357,102,84,359,325,257,241
s0114.png,256,114,84,357,283,243,199
s0115.png,243,275,53,368,177,93,124
s0116.png,357,241,200,403,286,162,86
s0117.png,204,124,65,270,333,146,268
s0118.png,357,112,237,280,340,168,103
s0119.png,292,153,64,399,192,246,128
s0120.png,350,109,79,256,319,147,240
s0121.png,286,112,89,258,201,146,112
s0122.png,357,95,81,271,296,176,215
s0123.png,341,139,91,316,264,177,173
s0124.png,357,112,114,342,243,230,129
s0125.png,357,119,86,303,290,184,204
s0126.png,263,186,255,422,298,236,43
s0127.png,256,86,100,311,282,225,182
s0128.png,325,179,162,400,210,221,48
s0129.png,256,97,87,264,314,167,227
s0130.png,356,127,54,277,396,150,342
s0131.png,342,225,209,420,284,195,75
s0132.png,153,125,78,281,362,156,284
s0133.png,322,92,58,311,395,219,337
s0134.png,220,121,102,283,252,162,150
s0135.png,221,244,235,358,291,114,56
s0136.png,225,140,71,290,372,150,301
s0137.png,256,98,99,261,320,163,221
s0138.png,168,114,52,313,396,199,344
s0139.png,277,92,144,284,354,192,210
s0140.png,357,153,148,204,305,51,157
s0141.png,342,144,161,317,254,173,93
s0142.png,357,101,179,354,249,253,70
s0143.png,191,266,265,411,347,145,82
s0144.png,159,147,125,277,206,130,81
s0145.png,256,109,50,371,386,262,336
s0146.png,154,108,107,265,247,157,140
s0147.png,298,102,277,243,337,141,60
s0148.png,337,131,110,367,187,236,77
s0149.png,228,76,44,397,215,321,171
s0150.png,357,114,63,330,386,216,323
s0151.png,205,116,71,287,392,171,321
s0152.png,227,74,103,364,250,290,147
s0153.png,337,283,237,379,302,96,65
s0154.png,178,125,92,351,143,226,51
s0155.png,178,104,119,292,355,188,236
s0156.png,228,120,221,280,357,160,136
s0157.png,270,70,38,382,343,312,305
s0158.png,178,138,158,214,319,76,161
s0159.png,256,89,87,297,356,208,269
s0160.png,313,144,187,406,284,262,97
s0161.png,267,122,90,295,300,173,210
s0162.png,333,186,78,391,177,205,99
s0163.png,293,285,232,389,299,104,67
s0164.png,286,135,247,282,351,147,104
s0165.png,320,156,157,376,222,220,65
s0166.png,313,96,81,344,196,248,115
s0167.png,318,139,66,328,266,189,200
s0168.png,282,222,125,358,245,136,120
s0169.png,176,119,127,217,319,98,192
s0170.png,155,108,76,317,391,209,315
s0171.png,344,120,270,344,341,224,71
s0172.png,228,252,154,399,205,147,51
s0173.png,256,99,113,255,196,156,83
s0174.png,357,92,87,284,260,192,173
s0175.png,256,147,75,325,171,178,96
s0176.png,317,70,133,381,248,311,115
s0177.png,256,121,135,412,239,291,104
s0178.png,256,70,60,380,157,310,97
s0179.png,250,98,91,424,206,326,115
s0180.png,156,183,195,430,299,247,104
s0181.png,331,120,87,302,290,182,203
s0182.png,329,110,75,303,302,193,227
s0183.png,197,97,81,263,285,166,204
s0184.png,207,108,71,275,376,167,305
s0185.png,155,86,113,311,350,225,237
s0186.png,337,139,91,259,221,120,130
s0187.png,241,54,98,449,197,395,99
s0188.png,233,86,49,338,225,252,176
s0189.png,181,113,109,264,202,151,93
s0190.png,306,196,99,303,176,107,77
s0191.png,162,127,90,325,294,198,204
s0192.png,226,131,48,302,375,171,327
s0193.png,340,183,174,430,230,247,56
s0194.png,311,113,158,260,367,147,209
s0195.png,161,248,227,415,281,167,54
s0196.png,335,259,224,403,280,144,56
s0197.png,256,165,151,423,231,258,80
s0198.png,244,91,124,350,190,259,66
s0199.png,187,88,108,360,231,272,123
s0200.png,223,98,86,280,307,182,221
s0201.png,256,151,88,387,181,236,93
s0202.png,227,118,76,312,345,194,269
s0203.png,241,122,66,311,308,189,242
s0204.png,212,264,206,411,293,147,87
s0205.png,256,122,95,285,229,163,134
